문제,해설,정답
,해설 매출액은 기업의 성장성을 나타내는 지표다.매출액을 보면 회사가 상품과 서비스를 얼마나 팔았는지 알 수 있고 회사 외형이 성장하고 있는지 축소하고 있는지 알 수 있다.영업이익은 기업의 수익성을 나타내는 지표다.영업이익을 보면 회사 운영에 필요한 이런저런 비용을 제하고 실제 회사가 올린 이익이 얼마인가 하는 것을 알 수 있다.정답① ,
,해설 배당은 기업이 일정 기간 영업활동을 해 발생한 이익 중 일부를 주주에게 나눠주는 것을 말한다.현금배당과 주식배당이 있다.배당성향은 현금배당액을 당기순이익으로 나눈 비율이다.회계연도 중간에 배당하는 것을 중간배당이라고 한다.배당은 결산기 종료일로부터3개월 이내에 열리는 정기 주주총회에서 최종 승인한다.정답②,
아래 제시된 사례는 하나의 경제적 개념과 연관돼 있다.다음 중 나머지 넷과 가장 연관성이 적은 하나는? ①10년을 입어도 새것 같은 옷 ②듣기 좋은 꽃노래도 한두 번 ③맛있는 음식도 늘 먹으면 싫다. ④우하향하는 개별소비자의 수요곡선 ⑤비짓국 잔뜩 먹은 배는 약과도 싫다고 한다. ,"해설 아래 제시된 사례는 한계효용체감의 법칙을 설명하고 있다.한계효용체감의 법칙은 재화를 소비하는 소비자가‘재화1단위당 추가로 얻는 효용(만족감)의 증가분’이 점점 줄어드는 현상을 말한다.예를 들어 격렬한 운동을 한 뒤 스포츠 음료를 한 캔씩 마실 때 격렬한 운동을 한 뒤에는 심한 갈증을 느끼게 되므로,맨 처음 마신 음료수가 가져다주는 효용은 상당히 클 것이다.그러나 그 상태에서 음료수를 두 캔째 마시면,아무리 동일한 음료수를 똑같이1캔 더 먹었다 한들 두 번째 음료수 한 캔이 가져다주는 효용은 첫 번째 음료수 한 캔이 가져다 준 효용보다 적을 것이다.한계효용체감의 법칙은 실생활에서 보편적으로 널리 관찰되는 행태로 많은 사람과 학자들의 공감을 얻었다.정답① ",
생산기지를 국외로 옮겼던 기업이 다시 국내로 돌아오는 현상을 말한다.여러 나라가 이를 촉진하기 위해 각종 세제 혜택과 규제 완화 등을 추진하고 있다.이것을 무엇이라고 하는가? ①리콜 ②콜인 ③리파이낸싱 ④리쇼어링 ⑤리디노미네이션,"해설 리쇼어링은 싼 인건비나 판매 시장을 찾아 해외로 진출한 기업들이 다시 본국으로 되돌아오는 현상을 말한다.기업들이 생산기지를 해외로 옮기는 오프쇼어링(off-shoring)의 반대 개념이다.최근 트럼프 미국 대통령이 자국 일자리 지키기와 무역적자 축소 등을 위해 리쇼어링 정책을 추진한다는 전략을 펴는 중이어서 주목된다.리콜은 회사 측이 제품의 결함을 발견해 보상해 주는 소비자보호제도이고,리파이낸싱은 자금 차입자가 대출규모,금리,상환 기간 등을 재조정하는 것을 말한다.정답④",
문제다음은 통계청이 발표한 우리나라‘2015인구센서스’결과를 나타내는 그래프이다.이와 관련한 설명 중 옳지않은것은?    ① 인구 센서스는5년마다 시행되고 있다. ② 우리나라 인구 센서스에서는 주택 관련 조사를 함께 실시하지 않는다. ③ 센서스 결과는 국가가 필요한 정책을 구상하고 시행하는 기초자료로 활용된다. ④ 그래프와 같은 인구구조 변화 추세가 지속된다면 생산가능인구 비율이 줄어 인구절벽 현상이 현실화될 수 있다. ⑤ 2015년 우리나라 인구구조는1980년과 비교해 유소년 인구 비중은 낮아진 반면 고령층 인구 비중은 높아진 것으로 볼 수 있다.   ,"해설 인구 센서스는 우리나라의 인구,가구,주택에 관한 종합적인 정보를 파악하기 위한 국가 기본통계 조사다. 10년마다 조사했으나 사회 변동 속도가 빨라짐에 따라 최근에는5년마다 시행하고 있다.조사 결과는 국가기관,개인 기업,학술단체 및 일반 대중의 정책 입안,계획 수립,연구 및 평가 등을 포함한 각종 분야의 기초자료로 활용된다.정답②",
문제 다음 중 우리나라 사회보험 제도의 하나로 볼 수없는것은? ①국민연금 ②건강보험 ③고용보험 ④실손의료보험 ⑤산업재해보험,"해설 사회보험은 국가에서 질병·노령·실업 등의 사회적 위험으로부터 국민을 보호하기 위해 보험에 가입하도록 강제한 사회보장제도로 일종의 사회적 안전망(social safety net)이다.국민연금(노후),건강보험(질병),고용보험(실업),산업재해보험(재해)과 같은 사회보험들이 대표적인 사회보장제도다.정답④",
영희는 주식 투자자이다.다음 중 바람직하지 않은 주식 투자 전략으로 볼 수 있는 것은? ①배당을 많이 주는 주식을 매수한다. ②EPS(주당순이익)가 많은 주식을 매수한다. ③PER(주가수익비율)이 높은 주식을 매수한다. ④미래 예상수익이 많은 기업 주식을 매수한다. ⑤PBR(주가순자산비율)이 낮은 주식을 매수한다.,"해설 주식투자지표로PER, PBR, EPS가 많이 사용된다. PER(주가수익비율·Price Earning Ratio)은 주가/1주당 당기순이익이다. PER이 높으면 기업이 벌어들인 이익에 비해 주가가 높게 평가됐다는 의미다. PBR은 주가순자산비율(Price Book-value Ratio)로 주가/주당순자산으로 계산한다.장부상의 가치로 회사 청산 시 주주가 배당받을 수 있는 자산의 가치를 의미한다.주당순이익(EPS)은 기업의 당기순이익을 그 기업이 발행한 총 주식 수로 나눈 값이다. EPS가 높을수록 주식의 투자 가치는 높다고 볼 수 있다. EPS가 높다는 것은 그만큼 경영실적이 양호하다는 뜻이며,배당 여력도 많으므로 주가에 긍정적인 영향을 미친다.배당은 기업이 일정 기간 영업활동을 해 발생한 이익 중 일부를 주주들에게 나눠주는 것을 말한다.배당은 주주에게 투자 수익면에서 매우 중요하다.영희는PER이 낮은 주식을, PBR이 낮은 주식을,미래 예상수익이 많은 기업 주식을 매수해야 한다.정답③  ",
시장 균형임금보다 높은 임금을 지급하면 생산성이 높아질 수 있다.이런 임금을 무엇이라고 하는가?  ①연봉제 ②성과급제 ③최저임금 ④보상적 임금 ⑤효율성 임금 ,해설 근로자의 임금은 근로자의 생산성에 따라 결정된다고 설명하는 전통적인 임금이론과 달리 효율성 임금이론은 근로자의 임금이 높으면 생산성이 올라간다고 본다.높은 임금을 주면 이직률이 낮아지고 근로자의 근로의욕이 높아져 생산성이 향상된다는 것이다.효율성 임금은 시장의 균형임금보다 높은 수준을 유지한다.최저임금은 근로자의 생활 안정 등을 위해 법으로 규정한 임금의 최저 수준이다.보상적 임금은 비금전적인 직업 속성의 차이를 보상해주기 위한 임금이다.오염된 지역에서 근무하는 직업이나 물가가 비싼 지역에서 근무할 경우에 보상적 임금은 양의 값을 가진다.정답⑤,
문제다음 그림의A~D는 서로 다른 과세 제도를 나타낸 것이다.이에 대한 설명으로 옳은 것은?    ①A제도는B제도보다 조세 저항이 적다. ②B제도는A제도보다 소득 재분배 효과가 크다. ③C제도에서는 조세의 역진성이 나타난다. ④D제도에서는 모든 사람에게 동일한 세액이 부과된다. ⑤C제도는D제도보다 경기 자동안정장치의 효과가 더 크다.  ,"해설A는 과세 대상 금액이 커짐에 따라 세액도 늘어난다. B는 과세 대상 금액과 상관없이 부과 세금이 같은 정액세다. C는 과세 대상 금액이 커질수록 더 높은 세율을 적용하는 누진세다.즉,고소득층이 저소득층에 비해 소득의 더 큰 몫을 세금으로 낸다. D는 과세 대상 금액과 상관없이 같은 세율(%)을 적용하는 조세를 의미한다.고소득층이나 저소득층이나 과세 대상 금액의 일정 비율을 납부한다.부가가치세가 대표적인 세금으로 한국에선10%의 세율이 적용된다.소득재분배 효과는 비례세보다 누진세가 더 크게 나타난다.비례세보다는 누진세가 경기 자동안정장치의 기능을 잘 수행한다.조세의 경기 자동안정장치는 경기가 좋을 때 세금이 많이 걷히고,경기가 나쁠 때 세금이 덜 걷혀 경기를 자동적으로 조절하는 기능이다.정답⑤",
문제 다음 중 중앙은행의 역할이나 기능과 거리가 먼 것은?  ①화폐 발행 권한을 독점한다. ②경기 안정을 위해 통화신용정책을 수립한다. ③정부가 거둬들인 국고금 등을 수납하는 역할을 한다. ④예금을 받아 기업이나 가계에 빌려주는 역할을 한다. ⑤은행들이 유동성 위기에 빠졌을 때 최종 대부자 기능을 한다. ,해설 중앙은행은△은행의 은행△정부의 은행△발권은행△통화신용정책의 수립·집행 기관이다.중앙은행은 은행 및 정부와 거래한다.가계나 기업 등 민간 경제주체들과 직접 거래하지 않는다.금융시스템 건전성 유지를 위해 은행들이 유동성이 부족하면 최후로 돈을 빌려주는 역할도 하는데 이를‘최종 대부자 기능’이라고 한다.국민이 내는 세금 등 국고금을 정부 예금으로 받아뒀다가 정부가 필요로 할 때 자금을 내주는 한편 정부가 자금이 부족할 때 돈을 빌려주기도 한다.발권은행은 돈을 발행할 독점적 권리가 있는 은행이란 뜻이다.통화신용정책은 돈의 양이나 금리를 조절해 경기를 안정시키는 정책이다.정답④,
문제코스피200변동성지수(VKOSPI)가 큰 폭으로 치솟아 상당 기간 지속할 경우 나타날 수 있는 현상과 거리가 먼 것은? ①공매도가 감소할 것이다. ②증권 계좌가 줄어들 것이다. ③투자자 예탁금이 감소할 것이다. ④증권 투자자들의 투자심리가 나빠질 것이다. ⑤코스피지수가 하락할 가능성이 높을 것이다. ,해설 증시의 변동성지수는 말 그대로 시장의 변동성을 측정하는 지표다.공포지수(Fear Index)라고 불리기도 한다.변동성지수가 상승하면 시장 참가자들의 투자심리가 불안하다는 뜻으로 해석할 수 있다. VKOSPI는 한국의 변동성지수며VIX는 미국의 변동성지수다.변동성지수가 큰 폭으로 오르는 것은 투자심리가 불안해 주가지수가 하락할 가능성이 크다는 얘기다.따라서 증권 투자를 위한 증권 계좌와 투자자 예탁금이 줄어들 가능성이 높다.반면 공매도는 늘어날 가능성이 크다.공매도는 주식을 빌려서 팔거나 아예 없는 주식을 팔고 나중에 주식을 구해 되갚는 투자기법으로 주가가 하락할 때 활용된다.정답① ,
문제다음 중 한국의GDP가 늘어나는 경우가 아닌 것은?  ①한국 공무원의 연봉이 인상됐다. ②중국인 관광객이 한국에서 쇼핑을 했다. ③한국에서 생산된 중간재가 미국에 수출됐다. ④철수의 집 가격이2억원에서3억원으로 올랐다. ⑤중고차 매매상이 중고차를2000만원에 사서2300만원에 팔았다. ,"해설GDP는 한 나라에서 일정 기간에 생산된 모든 최종 재화와 서비스의 시장가치다. GDP는 총생산,총소득,총지출의 세 측면에서 파악할 수 있는데 총지출의 경우 소비(C),투자(I),정부지출(G),순수출(NX,수출-수입)로 구성된다.한국 공무원 연봉 인상은 정부지출의 증가다.중국인 관광객이 한국에서 쇼핑을 하는 경우에도GDP가 증가한다.중간재가 최종 생산물의 재료로 사용되면 중간재 가격이 최종재 가격에 포함되기 때문에 이때GDP는 최종재의 가치만 계산한다.밀가루가 빵의 중간재로 사용되면 빵의 가치만GDP에 포함시키는 것이다.하지만 중간재가 별도로 사용돼 부가가치가 생산되면GDP는 증가한다.중고차 매매상인이 중고차를2000만원에 사서300만원의 이익을 남기고 팔았다면 소유권 이전에서 발생하는 서비스 생산이므로 이는GDP에 포함된다.한편 단순한 주택 가격 상승은GDP의 증가를 초래하지 않는다.정답④  ",
